"REF_DATE","GEO","DGUID","Type of materials diverted","Sources of materials prepared for recycling","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Canada","2016A000011124","All materials diverted","All sources of diverted materials","Tonnes","287","units","0","v1248315092","1.1.1","9551229","","","","0"
"2018","Canada","2016A000011124","All materials diverted","Residential sources of diverted materials","Tonnes","287","units","0","v1248315093","1.1.2","","..","","","0"
"2018","Canada","2016A000011124","All materials diverted","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315094","1.1.3","","..","","","0"
"2018","Canada","2016A000011124","All paper fibres","All sources of diverted materials","Tonnes","287","units","0","v1248315095","1.2.1","3519689","","","","0"
"2018","Canada","2016A000011124","All paper fibres","Residential sources of diverted materials","Tonnes","287","units","0","v1248315096","1.2.2","1537059","","","","0"
"2018","Canada","2016A000011124","All paper fibres","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315097","1.2.3","1982630","","","","0"
"2018","Canada","2016A000011124","Glass","All sources of diverted materials","Tonnes","287","units","0","v1248315098","1.3.1","396931","","","","0"
"2018","Canada","2016A000011124","Glass","Residential sources of diverted materials","Tonnes","287","units","0","v1248315099","1.3.2","298052","","","","0"
"2018","Canada","2016A000011124","Glass","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315100","1.3.3","98879","","","","0"
"2018","Canada","2016A000011124","Ferrous metals","All sources of diverted materials","Tonnes","287","units","0","v1248315101","1.4.1","624866","","","","0"
"2018","Canada","2016A000011124","Ferrous metals","Residential sources of diverted materials","Tonnes","287","units","0","v1248315102","1.4.2","114861","","","","0"
"2018","Canada","2016A000011124","Ferrous metals","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315103","1.4.3","510005","","","","0"
"2018","Canada","2016A000011124","Copper and aluminum","All sources of diverted materials","Tonnes","287","units","0","v1248315104","1.5.1","132062","","","","0"
"2018","Canada","2016A000011124","Copper and aluminum","Residential sources of diverted materials","Tonnes","287","units","0","v1248315105","1.5.2","40715","","","","0"
"2018","Canada","2016A000011124","Copper and aluminum","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315106","1.5.3","91347","","","","0"
"2018","Canada","2016A000011124","Mixed metals","All sources of diverted materials","Tonnes","287","units","0","v1248315107","1.6.1","116987","","","","0"
"2018","Canada","2016A000011124","Mixed metals","Residential sources of diverted materials","Tonnes","287","units","0","v1248315108","1.6.2","59862","","","","0"
"2018","Canada","2016A000011124","Mixed metals","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315109","1.6.3","57125","","","","0"
"2018","Canada","2016A000011124","White goods","All sources of diverted materials","Tonnes","287","units","0","v1248315110","1.7.1","63459","","","","0"
"2018","Canada","2016A000011124","White goods","Residential sources of diverted materials","Tonnes","287","units","0","v1248315111","1.7.2","38603","","","","0"
"2018","Canada","2016A000011124","White goods","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315112","1.7.3","24856","","","","0"
"2018","Canada","2016A000011124","Electronics","All sources of diverted materials","Tonnes","287","units","0","v1248315113","1.8.1","105270","","","","0"
"2018","Canada","2016A000011124","Electronics","Residential sources of diverted materials","Tonnes","287","units","0","v1248315114","1.8.2","","..","","","0"
"2018","Canada","2016A000011124","Electronics","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315115","1.8.3","","..","","","0"
"2018","Canada","2016A000011124","Plastics","All sources of diverted materials","Tonnes","287","units","0","v1248315116","1.9.1","354559","","","","0"
"2018","Canada","2016A000011124","Plastics","Residential sources of diverted materials","Tonnes","287","units","0","v1248315117","1.9.2","250323","","","","0"
"2018","Canada","2016A000011124","Plastics","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315118","1.9.3","104236","","","","0"
"2018","Canada","2016A000011124","Gable top and aseptic containers","All sources of diverted materials","Tonnes","287","units","0","v1248315119","1.10.1","25223","","","","0"
"2018","Canada","2016A000011124","Gable top and aseptic containers","Residential sources of diverted materials","Tonnes","287","units","0","v1248315120","1.10.2","22205","","","","0"
"2018","Canada","2016A000011124","Gable top and aseptic containers","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315121","1.10.3","3018","","","","0"
"2018","Canada","2016A000011124","Textiles","All sources of diverted materials","Tonnes","287","units","0","v1248315122","1.11.1","58895","","","","0"
"2018","Canada","2016A000011124","Textiles","Residential sources of diverted materials","Tonnes","287","units","0","v1248315123","1.11.2","58407","","","","0"
"2018","Canada","2016A000011124","Textiles","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315124","1.11.3","488","","","","0"
"2018","Canada","2016A000011124","Tires","All sources of diverted materials","Tonnes","287","units","0","v1248315125","1.12.1","487904","","","","0"
"2018","Canada","2016A000011124","Tires","Residential sources of diverted materials","Tonnes","287","units","0","v1248315126","1.12.2","","..","","","0"
"2018","Canada","2016A000011124","Tires","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315127","1.12.3","","..","","","0"
"2018","Canada","2016A000011124","Construction, renovation and demolition","All sources of diverted materials","Tonnes","287","units","0","v1248315128","1.13.1","722451","","","","0"
"2018","Canada","2016A000011124","Construction, renovation and demolition","Residential sources of diverted materials","Tonnes","287","units","0","v1248315129","1.13.2","117626","","","","0"
"2018","Canada","2016A000011124","Construction, renovation and demolition","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315130","1.13.3","604825","","","","0"
"2018","Canada","2016A000011124","Organics","All sources of diverted materials","Tonnes","287","units","0","v1248315131","1.14.1","2878960","","","","0"
"2018","Canada","2016A000011124","Organics","Residential sources of diverted materials","Tonnes","287","units","0","v1248315132","1.14.2","2278984","","","","0"
"2018","Canada","2016A000011124","Organics","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315133","1.14.3","599976","","","","0"
"2018","Canada","2016A000011124","Other materials","All sources of diverted materials","Tonnes","287","units","0","v1248315134","1.15.1","63973","","","","0"
"2018","Canada","2016A000011124","Other materials","Residential sources of diverted materials","Tonnes","287","units","0","v1248315135","1.15.2","46485","","","","0"
"2018","Canada","2016A000011124","Other materials","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315136","1.15.3","17488","","","","0"
"2018","Newfoundland and Labrador","2016A000210","All materials diverted","All sources of diverted materials","Tonnes","287","units","0","v1248315137","2.1.1","41739","","","","0"
"2018","Newfoundland and Labrador","2016A000210","All materials diverted","Residential sources of diverted materials","Tonnes","287","units","0","v1248315138","2.1.2","","..","","","0"
"2018","Newfoundland and Labrador","2016A000210","All materials diverted","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315139","2.1.3","","..","","","0"
"2018","Newfoundland and Labrador","2016A000210","All paper fibres","All sources of diverted materials","Tonnes","287","units","0","v1248315140","2.2.1","28679","","","","0"
"2018","Newfoundland and Labrador","2016A000210","All paper fibres","Residential sources of diverted materials","Tonnes","287","units","0","v1248315141","2.2.2","13451","","","","0"
"2018","Newfoundland and Labrador","2016A000210","All paper fibres","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315142","2.2.3","15228","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Glass","All sources of diverted materials","Tonnes","287","units","0","v1248315143","2.3.1","","x","","","0"
"2018","Newfoundland and Labrador","2016A000210","Glass","Residential sources of diverted materials","Tonnes","287","units","0","v1248315144","2.3.2","","x","","","0"
"2018","Newfoundland and Labrador","2016A000210","Glass","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315145","2.3.3","","x","","","0"
"2018","Newfoundland and Labrador","2016A000210","Ferrous metals","All sources of diverted materials","Tonnes","287","units","0","v1248315146","2.4.1","534","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Ferrous metals","Residential sources of diverted materials","Tonnes","287","units","0","v1248315147","2.4.2","","x","","","0"
"2018","Newfoundland and Labrador","2016A000210","Ferrous metals","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315148","2.4.3","","x","","","0"
"2018","Newfoundland and Labrador","2016A000210","Copper and aluminum","All sources of diverted materials","Tonnes","287","units","0","v1248315149","2.5.1","106","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Copper and aluminum","Residential sources of diverted materials","Tonnes","287","units","0","v1248315150","2.5.2","","x","","","0"
"2018","Newfoundland and Labrador","2016A000210","Copper and aluminum","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315151","2.5.3","","x","","","0"
"2018","Newfoundland and Labrador","2016A000210","Mixed metals","All sources of diverted materials","Tonnes","287","units","0","v1248315152","2.6.1","","x","","","0"
"2018","Newfoundland and Labrador","2016A000210","Mixed metals","Residential sources of diverted materials","Tonnes","287","units","0","v1248315153","2.6.2","","x","","","0"
"2018","Newfoundland and Labrador","2016A000210","Mixed metals","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315154","2.6.3","","x","","","0"
"2018","Newfoundland and Labrador","2016A000210","White goods","All sources of diverted materials","Tonnes","287","units","0","v1248315155","2.7.1","1262","","","","0"
"2018","Newfoundland and Labrador","2016A000210","White goods","Residential sources of diverted materials","Tonnes","287","units","0","v1248315156","2.7.2","1262","","","","0"
"2018","Newfoundland and Labrador","2016A000210","White goods","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315157","2.7.3","0","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Electronics","All sources of diverted materials","Tonnes","287","units","0","v1248315158","2.8.1","796","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Electronics","Residential sources of diverted materials","Tonnes","287","units","0","v1248315159","2.8.2","","..","","","0"
"2018","Newfoundland and Labrador","2016A000210","Electronics","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315160","2.8.3","","..","","","0"
